"Table 11: Drug-related deaths by Scottish Index of Multiple Deprivation (SIMD) quintile1: numbers and age-standardised death rates2, Scotland, 2001 to 2020",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotland,,,,SIMD Quintile 1 (most deprived),,,,SIMD Quintile 2,,,,SIMD Quintile 3,,,,SIMD Quintile 4,,,,SIMD Quintile 5 (least deprived),,,,
"1) Scottish Index of Multiple Deprivation (SIMD) quintiles are assigned according to the version of SIMD most relevant to the year in question.  Years 2001 to 2003 use SIMD04, 2004 to 2006 use SIMD06, 2007 to 2009 use SIMD09, ",,,,,,,,,,,,,,,,,,,,,,,,,
2010 to 2013 use SIMD12 and 2014 to 2016 use SIMD16 and 2017 onwards use SIMD20.,,,,,,,,,,,,,,,,,,,,,,,,,
2) Age-standardised death rates calculated using the European Standard Population - see this part of the NRS website:,,,,,,,,,,,,,,,,,,,,,,,,,
Age-standardised Death Rates Calculated Using the European Standard Population | National Records of Scotland (nrscotland.gov.uk),,,,,,,,,,,,,,,,,,,,,,,,,
3) 2020 rates are calculated using 2019 populations as 2020 small area population estimates are not yet published.  As a result the rate for Scotland may differ slightly from that shown in Table 10.  The rate shown in Table 10 should be considered the definitive rate for Scotland.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
