"Table 7: Drug-related deaths involving only one drug by sex, age and selected drugs implicated1, Scotland, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any drug: all such deaths,Opiates and opioids,,,,,,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Any other drug 3,,Alcohol (with only one drug - see the examples given in footnote 1),,,,,,,,,,,,
25-34,17,3,2,6,0,1,9,3,0,0,3,3,0,4,1,0,0,,8,,,,,,,,,,,,
35-44,14,3,1,4,0,0,5,4,2,2,2,2,0,2,0,2,1,,9,,,,,,,,,,,,
45-54,29,4,3,7,1,2,15,2,0,0,2,1,0,6,0,3,3,,10,,,,,,,,,,,,
55 and over,26,7,1,9,0,1,17,4,2,0,2,2,1,3,0,1,0,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,2,,,,,,,,,,,,
25-34,15,3,2,6,0,1,9,3,0,0,3,3,0,3,0,0,0,,8,,,,,,,,,,,,
35-44,12,2,1,3,0,0,4,4,2,2,2,2,0,2,0,1,1,,8,,,,,,,,,,,,
45-54,24,3,2,5,1,1,10,2,0,0,2,1,0,6,0,3,3,,9,,,,,,,,,,,,
55 and over,18,5,1,7,0,0,11,2,2,0,0,0,1,3,0,1,0,,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,
25-34,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,,,,,,
35-44,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,1,,,,,,,,,,,,
45-54,5,1,1,2,0,1,5,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,
55 and over,8,2,0,2,0,1,6,2,0,0,2,2,0,0,0,0,0,,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(ii) only one drug (and, perhaps, alcohol) was implicated in, or potentially contributed to, the cause of death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(other drugs may have been reported as being present, but were not considered to have had any direct contribution to the death)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All such deaths,184,40,23,66,6,14,103,21,5,3,16,14,3,35,7,7,8,,54,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,137,33,17,52,3,7,72,17,4,2,13,11,3,29,4,5,7,,44,,,,,,,,,,,,
Females,47,7,6,14,3,7,31,4,1,1,3,3,0,6,3,2,1,,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,8,1,1,2,0,0,2,0,0,0,0,0,0,3,3,0,0,,2,,,,,,,,,,,,
25-34,27,6,3,10,0,2,14,3,0,0,3,3,0,7,3,0,0,,9,,,,,,,,,,,,
35-44,39,10,3,14,1,1,17,8,2,2,6,6,0,10,0,2,2,,17,,,,,,,,,,,,
45-54,63,12,11,23,2,8,39,5,1,1,4,3,0,12,0,4,3,,16,,,,,,,,,,,,
55 and over,47,11,5,17,3,3,31,5,2,0,3,2,3,3,1,1,3,,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,6,1,1,2,0,0,2,0,0,0,0,0,0,3,1,0,0,,2,,,,,,,,,,,,
25-34,25,6,3,10,0,2,14,3,0,0,3,3,0,6,2,0,0,,9,,,,,,,,,,,,
35-44,27,8,3,11,0,0,12,7,2,2,5,5,0,5,0,1,2,,14,,,,,,,,,,,,
45-54,48,10,7,17,2,4,26,4,0,0,4,3,0,12,0,3,3,,12,,,,,,,,,,,,
55 and over,31,8,3,12,1,1,18,3,2,0,1,0,3,3,1,1,2,,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,,,,,,,,,
25-34,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,,,,,,
35-44,12,2,0,3,1,1,5,1,0,0,1,1,0,5,0,1,0,,3,,,,,,,,,,,,
45-54,15,2,4,6,0,4,13,1,1,1,0,0,0,0,0,1,0,,4,,,,,,,,,,,,
55 and over,16,3,2,5,2,2,13,2,0,0,2,2,0,0,0,0,1,,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Part (i) of this table gives the number of deaths for which each of the specified drugs was the only drug which was found to be present in the body. For example, a death for which:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) both cocaine and alcohol were implicated would be counted twice: once under 'cocaine' and once under 'alcohol';,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) both cocaine and alcohol were implicated, and methadone was found to be present in the body but was not considered to have had any direct contribution to the death, would not be counted at all in the upper part of the table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The final column of part (i) gives the number of drug-related deaths for which alcohol was found to be present in the body together with only one drug.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part (ii) of this table gives the number of deaths for which each of the specified drugs was the only drug which was considered to have been implicated in, or potentially contributed, to the cause of death. The pathologist may have reported that other drugs were present in the body - but, if so, the pathologist did not consider that they had any direct contribution to the death.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The final column of part (ii) gives the number of drug-related deaths for which alcohol was thought, by the pathologist, to be implicated in the cause of death together with only one drug. For example, a death for which:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) both cocaine and alcohol were implicated would be counted twice: once under 'cocaine' and once under 'alcohol'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) both cocaine and alcohol were implicated, and methadone was found to be present in the body but was not considered to have had any direct contribution to the death, would also be counted under 'cocaine' and 'alcohol' (but it would not be counted under 'methadone').",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) cocaine, methadone and alcohol were all implicated would not be counted at all in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost all the deaths which are counted in part (i) of the table are also counted in part (ii) of the table.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"However, there may be a few exceptions: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a drug-related death for which National Records of Scotland (NRS) was told that only one drug (and, perhaps, alcohol) was found to be present, and for which NRS was not told that it was considered to have been implicated in (or potentially contributed to) the cause of the death, will be counted in part (i) of the table but not in part (ii).  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a result, an occasional figure in part (i) of the table may be larger than the corresponding figure in part (ii) of the table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) The table shows a combined figure for 'heroin/morphine' because it is believed that, in the overwhelming majority of cases where morphine has been identified in post-mortem toxicological tests, its presence is the result of heroin use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) This is any kind of drug other than an opiate or opioid, a benzodiazepine, gabapentin, pregabalin, cocaine, an ecstasy-type drug or an amphetamine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
