"Table 4: Drug-related deaths by sex and age, Scotland, 1996 to 2020",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drug-related deaths,,Sex,,,Age-group 1,,,,,,,,Age,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Male,Female,,14 and under,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 and over,,Average,Lower quartile,Median,Upper quartile,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Males,,,,,,,,Females,,,,,,,,,,
,,,,,,All ages,24 and under,25 - 34,35 - 44,45 - 54,55 and over,,,All ages,24 and under,25 - 34,35 - 44,45 - 54,55 and over,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006-2010 average,,,393,62,140,128,48,15,,,103,16,31,32,17,8,,..,..,..,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2000,,239,58,104,60,12,5,,,53,15,22,9,4,3,,,,,
,,,,2001,,267,65,115,58,24,5,,,66,15,25,12,7,7,,,,,
,,,,2002,,321,85,131,78,21,6,,,61,15,22,14,6,4,,,,,
,,,,2003,,256,65,106,64,11,11,,,61,13,17,17,9,6,,,,,
,,,,2004,,289,72,114,75,24,4,,,67,9,24,17,11,6,,,,,
,,,,2005,,259,36,89,98,26,10,,,77,12,15,28,11,11,,,,,
,,,,2006,,334,61,123,97,40,12,,,87,8,31,30,14,4,,,,,
,,,,2007,,393,80,138,125,39,11,,,62,14,11,24,6,7,,,,,
,,,,2008,,461,68,178,145,56,14,,,113,24,33,29,15,12,,,,,
,,,,2009,,413,52,136,146,56,23,,,132,19,42,43,22,6,,,,,
,,,,2010,,363,49,124,126,50,14,,,122,16,37,32,26,11,,,,,
,,,,2011,,429,47,144,160,59,19,,,155,11,40,52,35,17,,,,,
,,,,2012,,416,33,136,148,72,27,,,165,13,35,51,43,23,,,,,
,,,,2013,,393,28,107,141,87,30,,,134,4,31,43,38,18,,,,,
,,,,2014,,453,37,117,161,110,28,,,161,10,40,52,38,21,,,,,
,,,,2015,,484,24,118,170,122,50,,,222,6,45,79,61,31,,,,,
,,,,2016,,593,25,151,237,132,48,,,275,17,48,90,82,38,,,,,
,,,,2017,,652,31,148,234,192,47,,,282,8,37,126,76,35,,,,,
,,,,2018,,860,57,164,309,256,74,,,327,8,53,133,89,44,,,,,
,,,,2019,,887,58,154,319,284,72,,,393,18,66,150,113,46,,,,,
,,,,2020,,973,62,210,289,305,107,,,366,18,50,129,114,55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,2016-2020 average,,,793,47,165,278,234,70,,,329,14,51,126,95,44,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,
"1) For 2001, 2003 and 2006, there are differences of one or two between the overall total for the year and the sum of the figures for the individual age-groups. This is due to the use of a new database - further information can be found at the end of Annex A.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
